timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,SMA_14,RSI_14,MACD,MACD-signal,MACD-hist,BB_upper,BB_lower
1502928000000,4261.48,4485.39,4200.74,4285.08,795.150377,1503014399999,3454770.05073206,3427,616.248541,2678216.40060401,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503014400000,4285.08,4371.52,3938.77,4108.37,1199.888264,1503100799999,5086958.30617151,5233,972.86871,4129123.31651808,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503100800000,4108.37,4184.69,3850.0,4139.98,381.309763,1503187199999,1549483.73542151,2153,274.336042,1118001.87008735,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503187200000,4120.98,4211.08,4032.62,4086.29,467.083022,1503273599999,1930364.39032646,2321,376.795947,1557401.3337373,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503273600000,4069.13,4119.62,3911.79,4016.0,691.74306,1503359999999,2797231.71402728,3972,557.356107,2255662.55315837,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503360000000,4016.0,4104.82,3400.0,4040.0,966.684858,1503446399999,3752505.77214051,6494,423.995181,1637188.36934226,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503446400000,4040.0,4265.8,4013.89,4114.01,1001.136565,1503532799999,4148686.46581968,8629,309.419092,1293567.09519463,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503532800000,4147.0,4371.68,4085.01,4316.01,787.418753,1503619199999,3296476.41316476,6247,206.820412,868379.0641312,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503619200000,4316.01,4453.91,4247.48,4280.68,573.61274,1503705599999,2484637.34936327,6554,100.097974,434577.13574645,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503705600000,4280.71,4367.0,4212.41,4337.44,228.108068,1503791999999,977865.7333321,2260,56.190141,241363.80050245,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503792000000,4332.51,4400.0,4285.54,4310.01,350.692585,1503878399999,1521580.06202557,3670,101.651358,442442.17937215,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503878400000,4310.01,4399.82,4124.54,4386.69,603.841616,1503964799999,2591660.52579953,4349,142.787782,612364.20611134,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1503964800000,4353.65,4625.85,4313.55,4587.48,603.545028,1504051199999,2682483.73582991,4159,143.442567,641982.02068658,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1504051200000,4564.52,4647.51,4416.01,4555.14,808.468771,1504137599999,3683714.68666123,5551,196.062252,894620.23750883,0,4254.512857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1504137600000,4555.14,4745.42,4555.14,4724.89,556.956802,1504223999999,2579878.72401184,4161,131.947325,614342.53390234,0,4285.927857142857,67.85827398305986,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1504224000000,4689.89,4885.55,4654.88,4834.91,560.666366,1504310399999,2665165.55924616,4000,118.660103,566254.43089734,0,4337.823571428571,70.6794655907821,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1504310400000,4796.16,4939.19,4286.87,4472.14,929.148595,1504396799999,4257723.944817,7475,379.199863,1738334.08541735,0,4361.549285714286,53.884720079742976,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
1504396800000,4508.5,4714.76,4298.33,4509.08,691.216198,1504483199999,3121052.75230181,6022,258.934536,1169644.69159694,0,4391.748571428571,55.05584599074014,-51.421238690720706,-51.421238690720706,-51.421238690720706,4779.438278992532,4779.438278992532
